,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
1932,300 gr di filetti di aringhe,300 gr di filetti di aringhe,filetti di aringhe,300 gr,filetti acciughe,acciughe,403
1933,8 costolette di agnello,8 costolette di agnello,costolette di agnello,8,costolette di agnello,carne di agnello,57
1934,1 kg di manzo,1 kg di manzo,manzo,1 kg,manzo,carne di bovino,492
1935,1/2 bicchiere di olio extra vergine di,1/2 bicchiere di olio extra vergine di,olio extra vergine,1/2 bicchiere,olio,olio extravergine d'oliva,4337
1936,oliva,oliva,oliva,,olive,olive,72
1937,120 gr di parmigiano reggiano grattugiato,120 gr di parmigiano reggiano grattugiato,parmigiano reggiano,120 gr,parmigiano reggiano,parmigiano reggiano dop,1291
1938,12 funghi ovoli,12 funghi ovoli,funghi ovoli,12,funghi,funghi,48
1939,120 g di parmigiano grattugiato,120 g di parmigiano grattugiato,parmigiano,120 g,parmigiano,parmigiano reggiano dop,1291
1940,50 g di mollica di pane fresco,50 g di mollica di pane fresco,mollica di pane,50 g,mollica di pane,mollica di pane,98
1941,1  bicchiere di latte,1  bicchiere di latte,latte,1 bicchiere,latte,latte,2242
1942,2 foglie di maggiorana,2 foglie di maggiorana,maggiorana,2 foglie,maggiorana,maggiorana,288
1943,200 g di gelato alla vaniglia,200 g di gelato alla vaniglia,gelato alla vaniglia,200 g,gelato alla vaniglia,gelato alla vaniglia,6
1944,"200 g gelato alla frutta (amarena, fragola, lamponi...)",200 g gelato alla frutta,gelato alla frutta,200 g,gelato al cioccolato,gelato,8
1945,200 g di gelato al cioccolato,200 g di gelato al cioccolato,gelato al cioccolato,200 g,gelato al fiordilatte,gelato al cioccolato,5
1946,250 g di frutta mista a pezzetti,250 g di frutta mista,frutta mista,250 g,frutta,frutta,22
1947,"4 cucchiai di sciroppo alla frutta (fragola, lampone...)",4 cucchiai di sciroppo alla frutta,sciroppo alla frutta,4 cucchiai,sciroppo alla fragola,sciroppo alla frutta,27
1948,400 gr di farina di ceci,400 gr di farina di ceci,farina di ceci,400 gr,farina di ceci,farina di ceci,26
1949,"1,5 litri di acqua","1,5 litri di acqua",acqua,"1,5 litri",acqua,acqua,1976
1950,300 gr di perfilo,300 gr di perfilo,perfilo,300 gr,perfilo,perfilo,1
1951,300 gr di midollo di bue,300 gr di midollo di bue,midollo di bue,300 gr,midollo,midollo,7
1952,funghi secchi,funghi secchi,funghi secchi,,funghi secchi,funghi secchi,48
1953,conserva di pomodoro,conserva di pomodoro,conserva di pomodoro,,conserva di pomodoro,passata di pomodoro,374
1954,500 gr di bietole,500 gr di bietole,bietole,500 gr,bietole,biete,64
1955,"400 g pasta all'uovo fresca in fogli (lasagne, anche già pronte)",400 g pasta all'uovo fresca,pasta all'uovo,400 g,pasta all'uovo,pasta all'uovo,32
1956,60 g parmigiano grattugiato,60 g parmigiano grattugiato,parmigiano,60 g,parmigiano,parmigiano reggiano dop,1291
1957,80 g di burro fuso,80 g di burro fuso,burro,80 g,burro,burro,4606
1958,2 mazzetti di basilico (foglie),2 mazzetti di basilico,basilico,2 mazzetti,basilico,basilico,944
1959,2 cucciai di pecorino grattugiato,2 cucciai di pecorino grattugiato,cucciai di pecorino,2,cucciai di pecorino,pecorino,519
1960,2 cucchiai parmigiano grattugiato,2 cucchiai parmigiano grattugiato,parmigiano,2 cucchiai,parmigiano,parmigiano reggiano dop,1291
1961,6 spicchi d'aglio,6 spicchi d'aglio,aglio,6 spicchi,aglio,aglio,2572
1962,la mollica di due panini,la mollica di due panini,panini,due,panini,panini,78
1963,1 bicchiere di aceto bianco,1 bicchiere di aceto bianco,aceto bianco,1 bicchiere,aceto bianco,aceto,528
1964,2 mazzi di asparagi,2 mazzi di asparagi,asparagi,2 mazzi,asparagi,asparagi,192
1965,50 gr di cavolo verza,50 gr di cavolo verza,cavolo verza,50 gr,cavolo verza,cavolo verza,13
1966,40 gr di grana padano,40 gr di grana padano,grana padano,40 gr,grana padano,grana padano dop,591
1967,1 kg di capretto nostrano,1 kg di capretto nostrano,capretto nostrano,1 kg,capretto,capretto,10
1968,300 gr di patate novelle,300 gr di patate novelle,patate novelle,300 gr,patate novelle,patate novelle,27
1969,800 gr di pasta da pane,800 gr di pasta da pane,pasta da pane,800 gr,pasta da pane,pasta da pane,25
1970,1 kg di erbette,1 kg di erbette,erbette,1 kg,erbette,erbette,30
1971,40 gr di uvetta,40 gr di uvetta,uvetta,40 gr,uvetta,uvetta,220
1972,350 gr di cicorie,350 gr di cicorie,cicorie,350 gr,cicoria,cicoria,37
1973,200 gr di cavolo cappuccio,200 gr di cavolo cappuccio,cavolo cappuccio,200 gr,cavolo cappuccio,cavolo cappuccio,44
1974,1 piedino di maiale e 200 gr di cotenne ben pulite,1 piedino di maiale,piedino di maiale,1,piedino di maiale,carne di suino,202
1975,brodo di manzo,brodo di manzo,brodo di manzo,,brodo di manzo,brodo di carne,219
1976,800 gr di carne di maiale\r,800 gr di carne di maiale\r,,800 gr,,,
1977,100 g di sugna,100 g di sugna,sugna,100 g,sugna,sugna,4
1978,100 di zucchero,100 di zucchero,zucchero,100,zucchero,zucchero,4949
1979,10 uova,10 uova,uova,10,uova,uova,3872
1980,2 dl d'acqua,2 dl d'acqua,acqua,2 dl,acqua,acqua,1976
1981,200 g di strutto,200 g di strutto,strutto,200 g,strutto,strutto,134
1982,2 kg di fichi secchi,2 kg di fichi secchi,fichi secchi,2 kg,fichi secchi,fichi secchi,41
1983,200 g di mandorle abbrustolite,200 g di mandorle abbrustolite,mandorle,200 g,mandorle,mandorle,415
1984,250 g di miele,250 g di miele,miele,250 g,miele,miele,335
1985,150 d di mandorle sgusciate,150 d di mandorle sgusciate,mandorle,150,mandorle,mandorle,415
1986,400 g di fettine di vitello per cotoletta,400 g di fettine di vitello,vitello,400 g,vitello,carne di bovino,492
1987,300 g di pomodori maturi,300 g di pomodori maturi,pomodori,300 g,pomodori,pomodori,634
1988,600 gr di punta di vitello tagliata a tasca,600 gr di punta di vitello tagliata,punta di vitello,600 gr,puntarelle,carne di bovino,492
1989,200 gr di tritato di vitello,200 gr di tritato di vitello,macinato di vitello,200 gr,macinato di vitello,macinato di bovino,51
1990,100 gr di cervello di vitello,100 gr di cervello di vitello,cervello vitello,100 gr,cervello vitello,cervella,5
1991,100 gr di midollo di vitello,100 gr di midollo di vitello,midollo di vitello,100 gr,midollo,midollo,7
1992,100 gr di pinoli,100 gr di pinoli,pinoli,100 gr,pinoli,pinoli,392
1993,100 gr di pistacchi,100 gr di pistacchi,pistacchi,100 gr,pistacchi,pistacchi,193
1994,100 gr di piselli in scatola,100 gr di piselli,piselli,100 gr,piselli,piselli,302
1995,parmigiano reggiamo grattugiato,parmigiano reggiamo grattugiato,parmigiano,,parmigiano,parmigiano reggiano dop,1291
1996,320 gr di orzo perlato,320 gr di orzo perlato,orzo perlato,320 gr,orzo perlato,orzo perlato,37
1997,"1,5 l di brodo vegetale","1,5 l di brodo vegetale",brodo vegetale,"1,5 l",brodo vegetale,brodo vegetale,571
1998,800 gr di stoccafisso,800 gr di stoccafisso,stoccafisso,800 gr,stoccafisso,stoccafisso,18
1999,80 gr di pancetta,80 gr di pancetta,pancetta,80 gr,pancetta,pancetta,245
2000,5 foglie di salvia,5 foglie di salvia,salvia,5 foglie,salvia,salvia,484
2001,1 kg di sarde,1 kg di sarde,sarde,1 kg,sarde,sarde,32
2002,5 cucchiai di olio extravergine di oliva,5 cucchiai di olio extravergine di oliva,olio extravergine di oliva,5 cucchiai,olio extravergine di oliva,olio extravergine d'oliva,4337
2003,400 gr di foglie di cavolo cappuccio,400 gr di foglie di cavolo cappuccio,cavolo cappuccio,400 gr,cavolo cappuccio,cavolo cappuccio,44
2004,1 cipolla media,1 cipolla media,cipolla,1,cipolla,cipolla,1415
2005,500 gr di baccalà,500 gr di baccalà,baccalà,500 gr,baccalà,baccalà,94
2006,mentuccia,mentuccia,mentuccia,,mentuccia,menta,533
2007,500 gr di puntine di maiale,500 gr di puntine di maiale,puntine di maiale,500 gr,puntine di maiale,carne di suino,202
2008,500 gr di fettine di fesa di vitello,500 gr di fettine di fesa di vitello,fesa di vitello,500 gr,fesa di vitello,carne di bovino,492
2009,300 gr di prosciutto crudo,300 gr di prosciutto crudo,prosciutto crudo,300 gr,prosciutto crudo,prosciutto crudo,182
2010,250 gr di pomodoro,250 gr di pomodoro,pomodoro,250 gr,pomodoro,pomodori,634
2011,250 gr di carne tritata,250 gr di carne tritata,carne,250 gr,carne,carne,44
2012,150 gr di mozzarella,150 gr di mozzarella,mozzarella,150 gr,mozzarella,mozzarella,264
2013,100 gr di cervello d’abbacchio,100 gr di cervello d’abbacchio,,100 gr d’,,,
2014,100 gr di animelle d’abbacchio,100 gr di animelle d’abbacchio,,100 gr,,,
2015,2 carciofi,2 carciofi,carciofi,2,carciofi,carciofi,222
2016,1/2 cavolfiore,1/2 cavolfiore,cavolfiore,1/2,cavolfiore,cavolfiore,101
2017,1 cipolla di tropea,1 cipolla di tropea,cipolla di tropea,1,cipolla di tropea,cipolla di tropea,103
2018,1 ciuffetto di rucola,1 ciuffetto di rucola,rucola,1,rucola,rucola,133
2019,4 filetti di acciuga sotto sale,4 filetti di acciuga sotto sale,acciuga sotto sale,4,acciuga,acciughe,403
2020,100 g olive taggiasche,100 g olive taggiasche,olive taggiasche,100 g,olive taggiasche,olive taggiasche,106
2021,800 gr di capone,800 gr di capone,capone,800 gr,capone,cappone,15
2022,1 aragosta,1 aragosta,aragosta,1,aragosta,aragosta,10
2023,8 fette di mosciame di tonno,8 fette di mosciame di tonno,mosciame di tonno,8 fette,mosciame di tonno,mosciame di tonno,3
2024,scorzonera,scorzonera,scorzonera,,scorzonera,scorzonera,5
2025,20 grammi di pinoli,20 grammi di pinoli,pinoli,20 grammi,pinoli,pinoli,392
2026,20 grammi di capperi,20 grammi di capperi,capperi,20 grammi,capperi,capperi,366
2027,8 funghetti sott'olio,8 funghetti sott'olio,funghetti sott'olio,8,funghetti sott'olio,funghetti sott'olio,6
2028,2 cetriolini,2 cetriolini,cetriolini,2,cetriolini,cetriolini sott'aceto,48
2029,2 cucchiai di olive nere,2 cucchiai di olive nere,olive nere,2 cucchiai,olive nere,olive nere,244
2030,1 panino,1 panino,panino,1,panino,panini,78
2031,pane casereccio,pane casereccio,pane casereccio,,pane casereccio,pane casereccio,96
2032,380 g di zucchero,380 g di zucchero,zucchero,380 g,zucchero,zucchero,4949
2033,buccia di mezzo limone grattugiata,buccia di mezzo limone grattugiata,limone,mezzo,limone,limone,1394
2034,buccia di mezza arancia grattugiata,buccia di mezza arancia grattugiata,arancia,mezza,arancia,arance,358
2035,400 g di ricotta di pecora,400 g di ricotta di pecora,ricotta di pecora,400 g,ricotta di pecora,ricotta di pecora,63
2036,90 g di gocce di cioccolato fondente,90 g di gocce di cioccolato fondente,gocce di cioccolato fondente,90 g,gocce di cioccolato fondente,gocce di cioccolato fondente,71
2037,scorza di cedro tagliata a cubetti,scorza di cedro tagliata,scorza di cedro,,scorza d'arancia,buccia d'arancia,187
2038,1 baccello di vaniglia o una bustina di vanillina,1 baccello di vaniglia,vaniglia,1 baccello,vaniglia,baccello di vaniglia,845
2039,liquore all'arancio (cointreau o grand marnier),liquore all'arancio,liquore all'arancio,,liquore,liquore,38
2040,olio di semi di arachide,olio di semi di arachide,olio di semi di arachide,,olio di semi di arachide,olio di arachide,339
2041,4 costolette di vitello 4 con osso,4 costolette di vitello 4 con osso,costolette di vitello,4,costolette d'agnello,carne di bovino,492
2042,50 gr di pane grattugiato,50 gr di pane grattugiato,pane,50 gr,pane,pane,363
2043,400 g di mandorle,400 g di mandorle,mandorle,400 g,mandorle,mandorle,415
2044,300 g di farina tipo 0,300 g di farina tipo 0,farina tipo 0,300 g,farina tipo 0,farina 0,181
2045,1 kg di coniglio,1 kg di coniglio,coniglio,1 kg,coniglio,carne di coniglio,65
2046,100 gr di olive nere,100 gr di olive nere,olive nere,100 gr,olive nere,olive nere,244
2047,350 gr di borragine mondata,350 gr di borragine mondata,borragine mondata,350 gr,borragine,borragine,9
2048,60 gr di prosciutto crudo,60 gr di prosciutto crudo,prosciutto crudo,60 gr,prosciutto crudo,prosciutto crudo,182
2049,400 gr di linguine,400 gr di linguine,linguine,400 gr,linguine,linguine,56
2050,30 gr di capperi,30 gr di capperi,capperi,30 gr,capperi,capperi,366
2051,100 gr di mollica di pane,100 gr di mollica di pane,mollica di pane,100 gr,mollica di pane,mollica di pane,98
2052,600 gr di loertis (luertiis),600 gr di loertis,loertis,600 gr,loertis,loertis,1
2053,grana padano,grana padano,grana padano,,grana padano,grana padano dop,591
2054,600 g di zucchero,600 g di zucchero,zucchero,600 g,zucchero,zucchero,4949
2055,500 g di granella di nocciole,500 g di granella di nocciole,granella di nocciole,500 g,granella di nocciole,granella di nocciole,102
2056,250 g di albumi,250 g di albumi,albumi,250 g,albumi,albumi,436
2057,4 fette di  fontina valdostana,4 fette di  fontina valdostana,fontina valdostana,4 fette,fontina,fontina,155
2058,40  g di  burro,40  g di  burro,burro,40 g,burro,burro,4606
2059,1/2 kg di baccalà,1/2 kg di baccalà,baccalà,1/2 kg,baccalà,baccalà,94
2060,600 gr di costine di maiale tagliate a pezzi,600 gr di costine di maiale tagliate,costine di maiale,600 gr,costine di maiale,carne di suino,202
2061,250 gr di salsiccia luganega,250 gr di salsiccia luganega,salsiccia luganega,250 gr,salsiccia,salsiccia,225
2062,100 gr di cotiche di maiale,100 gr di cotiche di maiale,cotiche di maiale,100 gr,cotiche di maiale,cotenna di suino,25
2063,2 salamin de verz,2 salamin de verz,salamin de verz,2,salamin de verz,salame,59
2064,1 zampetto di maiale,1 zampetto di maiale,zampetto di maiale,1,zampetto di maiale,carne di suino,202
2065,200 gr di sedano,200 gr di sedano,sedano,200 gr,sedano,sedano,796
2066,180 gr di carote,180 gr di carote,carote,180 gr,carote,carote,1077
2067,1 cucchiaio di salsa di pomodoro,1 cucchiaio di salsa di pomodoro,salsa di pomodoro,1 cucchiaio,salsa di pomodoro,salsa di pomodoro,90
2068,50 g di porri,50 g di porri,porri,50 g,porri,porri,299
2069,600 gr di capretto,600 gr di capretto,capretto,600 gr,capretto,capretto,10
2070,300 gr di muscari,300 gr di muscari,muscari,300 gr,muscari,muscari,1
2071,4 testine di agnello,4 testine di agnello,testine di agnello,4,testine di agnello,carne di agnello,57
2072,8 cucchiai di pangrattato,8 cucchiai di pangrattato,pangrattato,8 cucchiai,pangrattato,pangrattato,834
2073,300 gr di mandorle,300 gr di mandorle,mandorle,300 gr,mandorle,mandorle,415
2074,succo di un limone,succo di un limone,succo di limone,un,succo di limone,succo di limone,599
2075,250 g di semi di sesamo,250 g di semi di sesamo,semi di sesamo,250 g,semi di sesamo,semi di sesamo,132
2076,scorza di mezzo limone,scorza di mezzo limone,scorza limone,mezzo,scorza d'arancia,scorza di limone,567
2077,350 g di spaghetti,350 g di spaghetti,spaghetti,350 g,spaghetti,spaghetti,201
2078,200 g di gamberetti sgusciati,200 g di gamberetti sgusciati,gamberetti,200 g,gamberetti,gamberetti,67
2079,1 peperoncino rosso piccante,1 peperoncino rosso piccante,peperoncino rosso piccante,1,peperoncino,peperoncino,468
2080,150 ml d’acqua,150 ml d’acqua,,150 ml,,,
2081,1 cucchiaino di cannella in polvere,1 cucchiaino di cannella,cannella,1 cucchiaino,cannella,cannella,499
2082,10 chiodi di garofano,10 chiodi di garofano,chiodi di garofano,10,chiodi di garofano,chiodi di garofano,180
2083,150 gr di vitello in una fetta,150 gr di vitello,vitello,150 gr,vitello,carne di bovino,492
2084,150 gr di manzo in una fetta,150 gr di manzo,manzo,150 gr,manzo,carne di bovino,492
2085,150 gr di petti di pollo,150 gr di petti di pollo,petti di pollo,150 gr,petti di pollo,carne di pollo,350
2086,150 gr di salsiccia,150 gr di salsiccia,salsiccia,150 gr,salsiccia,salsiccia,225
2087,50 gr di prosciutto cotto,50 gr di prosciutto cotto,prosciutto cotto,50 gr,prosciutto cotto,prosciutto cotto,324
2088,4 tuorli d’uovo,4 tuorli d’uovo,,4,,,
2089,1 coniglio tenero,1 coniglio tenero,coniglio,1,coniglio,carne di coniglio,65
2090,300 gr di salsiccia,300 gr di salsiccia,salsiccia,300 gr,salsiccia,salsiccia,225
2091,1 kg di pollo,1 kg di pollo,pollo,1 kg,pollo,carne di pollo,350
2092,750 gr di barbe di becco,750 gr di barbe di becco,barbe di becco,750 gr,barbera,barba di frate,15
2093,250 gdi mandorle,250 gdi mandorle,mandorle,250,mandorle,mandorle,415
2094,400 g di zucchero,400 g di zucchero,zucchero,400 g,zucchero,zucchero,4949
2095,4 uova intere più un tuorlo,4 uova intere,uova intere,4,uova intere,uova,3872
2096,1 dl di vin santo,1 dl di vin santo,vin santo,1 dl,vin santo,vin santo,12
2097,150 g di burro a temperatura ambiente,150 g di burro,burro,150 g,burro,burro,4606
2098,"0,5 dl di grappa","0,5 dl di grappa",grappa,"0,5 dl",grappa,grappa,56
2099,6 acciughe,6 acciughe,acciughe,6,acciughe,acciughe,403
2100,12 olive,12 olive,olive,12,olive,olive,72
2101,10 gr di capperi sotto sale,10 gr di capperi sotto sale,capperi sotto sale,10 gr,capperi sotto sale,capperi,366
2102,1/2 kg stoccafisso,1/2 kg stoccafisso,stoccafisso,1/2 kg,stoccafisso,stoccafisso,18
2103,1/2 kg patate,1/2 kg patate,patate,1/2 kg,patate,patate,1000
2104,1/2 kg pomodori pelati,1/2 kg pomodori pelati,pomodori pelati,1/2 kg,pomodori pelati,pomodori pelati,196
2105,200 gr di olive taggiasche,200 gr di olive taggiasche,olive taggiasche,200 gr,olive taggiasche,olive taggiasche,106
2106,500 gr di sardine,500 gr di sardine,sardine,500 gr,sardine,sardine,19
2107,5 cucchiai di sale grosso,5 cucchiai di sale grosso,sale,5 cucchiai,sale,sale,9693
2108,150 grammi di fegatini di pollo,150 grammi di fegatini di pollo,fegatini di pollo,150 grammi,fegatini di pollo,fegatini di pollo,39
2109,150 grammi di testicoli di pollo,150 grammi di testicoli di pollo,testicoli di pollo,150 grammi,testicoli di pollo,carne di pollo,350
2110,150 grammi di creste,150 grammi di creste,creste,150 grammi,creste di gallo,creste di gallo,4
2111,150 grammi di animelle,150 grammi di animelle,animelle,150 grammi,animelle,animelle,12
2112,300 grammi di funghi freschi,300 grammi di funghi freschi,funghi,300 grammi,funghi,funghi,48
2113,50 grammi di burro,50 grammi di burro,burro,50 grammi,burro,burro,4606
2114,50 grammi di prosciutto,50 grammi di prosciutto,prosciutto,50 grammi,prosciutto,prosciutto,22
2115,400 gr di noci,400 gr di noci,noci,400 gr,noci,noci,222
2116,20 gr di pinoli,20 gr di pinoli,pinoli,20 gr,pinoli,pinoli,392
2117,20 gr di cedri canditi,20 gr di cedri canditi,cedri canditi,20 gr,cedri canditi,cedro candito,34
2118,100 gr di cioccolato fondente,100 gr di cioccolato fondente,cioccolato fondente,100 gr,cioccolato fondente,cioccolato fondente,833
2119,200 gr di miele,200 gr di miele,miele,200 gr,miele,miele,335
2120,4 fette di pesce spada,4 fette di pesce spada,pesce spada,4 fette,pesce spada,pesce spada,66
2121,30 olive nere,30 olive nere,olive nere,30,olive nere,olive nere,244
2122,10 gr di capperi,10 gr di capperi,capperi,10 gr,capperi,capperi,366
2123,200 gr di polpo,200 gr di polpo,polpo,200 gr,polpo,polpo,47
2124,200 gr di seppie,200 gr di seppie,seppie,200 gr,seppie,seppie,40
2125,200 gr di cannolicchi,200 gr di cannolicchi,cannolicchi,200 gr,cannolicchi,canocchie,14
2126,200 gr di cozze,200 gr di cozze,cozze,200 gr,cozze,cozze,115
2127,200 gr di gamberi,200 gr di gamberi,gamberi,200 gr,gamberi,gamberi,194
2128,4 filetti di acciughe,4 filetti di acciughe,acciughe,4,acciughe,acciughe,403
2129,50 gr di capperi sotto sale,50 gr di capperi sotto sale,capperi sotto sale,50 gr,capperi sotto sale,capperi,366
