,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
18204,200 ml di yogurt greco,200 ml di yogurt greco,yogurt greco,200 ml,yogurt greco,yogurt greco,yogurt greco,196,,,,,
18205,2-3 lime,2-3 lime,lime,2 - 3,lime,lime,lime,135,,,,,
18206,1/2 panetto di lievito di birra fresco (8 g),1/2 panetto di lievito di birra fresco,lievito di birra fresco,1/2 panetto,lievito di birra fresco,lievito di birra fresco,lievito fresco,176,,,,,
18207,100 g di marmellata a piacere,100 g di marmellata,marmellata,100 g,marmellata,marmellata,marmellata,46,,,,,
18208,320 g di spaghetti di riso quinoa e mais,320 g di spaghetti di riso quinoa e mais,spaghetti di riso quinoa,320 g,spaghetti di riso quinoa,spaghetti,spaghetti,201,,,,,
18209,120 g di rucola,120 g di rucola,rucola,120 g,rucola,rucola,rucola,133,,,,,
18210,80 g di semi di girasole circa,80 g di semi di girasole circa,semi di girasole,80 g,semi di girasole,semi di girasole,semi di girasole,28,,,,,
18211,1 sedano verde,1 sedano verde,sedano verde,1,sedano verde,sedano verde,sedano,796,,,,,
18212,8 cipollotti,8 cipollotti,cipollotti,8,cipollotti,cipollotti,cipollotto fresco,296,,,,,
18213,"200 g di farina di frumento ""00""","200 g di farina di frumento ""00""",farina di frumento,200 g,farina di frumento,farina,farina,2121,,,,,
18214,1 cucchiaino di malto in polvere,1 cucchiaino di malto,malto,1 cucchiaino,malto,malto,malto,79,,,,,
18215,150 g di licoli,150 g di licoli,licoli,150 g,licoli,licoli,licoli,10,,,,,
18216,450 g d'acqua frizzante,450 g d'acqua frizzante,d' acqua frizzante,450 g,acqua frizzante,acqua frizzante,acqua frizzante,43,,,,,
18217,500 gr di sedano,500 gr di sedano,sedano,500 gr,sedano,sedano,sedano,796,,,,,
18218,10 gr di prezzemolo,10 gr di prezzemolo,prezzemolo,10 gr,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
18219,6 savoiardi morbidi sardi,6 savoiardi morbidi sardi,savoiardi morbidi sardi,6,savoiardi morbidi sardi,savoiardi,savoiardi,82,,,,,
18220,400 g di crema pasticciera alla vaniglia,400 g di crema pasticciera alla vaniglia,crema pasticciera alla vaniglia,400 g,crema pasticciera alla vaniglia,crema,crema pasticcera,65,,,,,
18221,250 g di crema pasticciera al cioccolato,250 g di crema pasticciera al cioccolato,crema pasticciera al cioccolato,250 g,crema pasticciera al cioccolato,crema,crema pasticcera,65,,,,,
18222,2 dl di alchermes,2 dl di alchermes,alchermes,2 dl,alchermes,alchermes,alchermes,15,,,,,
18223,1 rosa non trattata,1 rosa,rosa,1,rosa,rosa,rose,8,,,,,
18224,cedro candito per il decoro,cedro candito,cedro candito,,cedro candito,cedro candito,cedro candito,34,,,,,
18225,4 piccioni,4 piccioni,piccioni,4,piccioni,piccioni,piccioni,10,,,,,
18226,8/10 fette di pane raffermo,8/10 fette di pane raffermo,pane raffermo,8/10 fette,pane raffermo,pane raffermo,pane raffermo,106,,,,,
18227,Parmigiano,parmigiano,parmigiano,,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
18228,4 asparagi verdi freschi,4 asparagi verdi freschi,asparagi verdi,4,asparagi verdi,asparagi verdi,asparagi,192,,,,,
18229,uova di trota qb,uova di trota qb,uova di trota,qb,uova di trota,uova,uova di pesce,23,,,,,
18230,pepe bianco qb,pepe bianco qb,pepe bianco,qb,pepe bianco,pepe bianco,pepe,5844,,,,,
18231,polvere di radice di liquirizia qb,polvere di radice di liquirizia qb,radice di liquirizia,qb,radice di liquirizia,radice di zenzero,liquirizia,21,,,,,
18232,120 gr di farina 00,120 gr di farina 00,farina,120 gr,farina,farina,farina,2121,,,,,
18233,25 gr cioccolato fondente al 70%,25 gr cioccolato fondente al 70%,cioccolato fondente al 70 %,25 gr,cioccolato fondente al 70%,cioccolato fondente al 70%,cioccolato fondente,833,,,,,
18234,un  pizzico di sale,un pizzico di sale,sale,un pizzico,sale,sale,sale,9693,,,,,
18235,200 gr di polpa di vitello,200 gr di polpa di vitello,polpa di vitello,200 gr,vitello,vitello,carne di bovino,492,,,,,
18236,½  bicchiere di vino rosso,1/2 bicchiere di vino rosso,vino rosso,1/2 bicchiere,vino rosso,vino rosso,vino rosso,219,,,,,
18237,½ arancia (il succo),1/2 arancia,arancia,1/2,arancia,arancia,arance,358,,,,,
18238,olio extra vergine di  oliva,olio extra vergine di oliva,olio extra vergine di oliva,,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
18239,8 nocciole tritate,8 nocciole tritate,nocciole,8,nocciole,nocciole,nocciole,164,,,,,
18240,Parmigiano  Reggiano,parmigiano reggiano,parmigiano reggiano,,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
18241,250 g di farina di grano tenero,250 g di farina di grano tenero,farina di grano,250 g,farina di grano,farina di grano,farina,2121,,,,,
18242,1/2 cucchiaino di malto,1/2 cucchiaino di malto,malto,1/2 cucchiaino,malto,malto,malto,79,,,,,
18243,400 g d'acqua,400 g d'acqua,d' acqua,400 g,acqua,acqua,acqua,1976,,,,,
18244,40 g di scorze di arancia candite,40 g di scorze di arancia candite,arancia candite,40 g,arancia candite,arancia,arance,358,,,,,
18245,150g lievito madre,150g lievito madre,lievito madre,150 g,lievito madre,lievito madre,lievito madre,30,,,,,
18246,100g latte,100g latte,latte,100 g,latte,latte,latte,2242,,,,,
18247,350g acqua,350g acqua,acqua,350 g,acqua,acqua,acqua,1976,,,,,
18248,300g farina di semola di grano duro,300g farina di semola di grano duro,farina di semola di grano duro,300 g,farina di semola di grano duro,farina di semola di grano duro,farina,2121,,,,,
18249,300g farina di grano tenero,300g farina di grano tenero,farina di grano,300 g,farina di grano,farina di grano,farina,2121,,,,,
18250,10 pomodorini,10 pomodorini,pomodorini,10,pomodorini,pomodorini,pomodorini,142,,,,,
18251,45 cl di panna fresca,45 cl di panna fresca,panna fresca,45 cl,panna fresca,panna fresca,panna fresca,1860,,,,,
18252,400 g di granita al caffè,400 g di granita al caffè,granita al caffè,400 g,granita al caffè,granita al caffè,granita al caffè,1,,,,,
18253,500 g farina a pietra,500 g farina,farina,500 g,farina,farina,farina,2121,,,,,
18254,200 g d'acqua,200 g d'acqua,d' acqua,200 g,acqua,acqua,acqua,1976,,,,,
18255,30 g di tartufo,30 g di tartufo,tartufo,30 g,tartufo,tartufo,tartufo,18,,,,,
18256,30 g di acciughe,30 g di acciughe,acciughe,30 g,acciughe,acciughe,acciughe,403,,,,,
18257,300 g di ricotta morbida,300 g di ricotta morbida,ricotta,300 g,ricotta,ricotta,ricotta,324,,,,,
18258,300 g di yogurt greco intero,300 g di yogurt greco intero,yogurt greco intero,300 g,yogurt greco,yogurt greco,yogurt greco,196,,,,,
18259,kg 1 di lombata di vitello disossata e senza grasso,kg 1 di lombata di vitello disossata e,lombata di vitello,kg 1,lombata di vitello,lombata di vitello,lonza di vitello,9,,,,,
18260,1 peperone rosso arrostito,1 peperone rosso arrostito,peperone rosso,1,peperone rosso,peperone rosso,peperoni,612,,,,,
18261,30 g di capperi sottosale,30 g di capperi sottosale,capperi sottosale,30 g,capperi sottosale,capperi sottosale,capperi,366,,,,,
18262,100 g d’insalatina,100 g d'insalatina,d' insalatina,100 g,insalatina,insalatina,insalata,75,,,,,
18263,150 g di riso originario,150 g di riso originario,riso originario,150 g,riso originario,riso,riso,289,,,,,
18264,2 bacche di cardamomo,2 bacche di cardamomo,bacche di cardamomo,2,bacche di cardamomo,bacche di ginepro,cardamomo,47,,,,,
18265,1/2 dl di caffè,1/2 dl di caffè,caffè,1/2 dl,caffè,caffè,caffè,190,,,,,
18266,2 cucchiaini colmi di lievito di birra disidratato,2 cucchiaini colmi di lievito di birra disidratato,lievito di birra disidratato,2 cucchiaini,lievito di birra disidratato,lievito di birra disidratato,lievito di birra,364,,,,,
18267,400 gr petto di pollo,400 gr petto di pollo,petto di pollo,400 gr,petto di pollo,petto di pollo,carne di pollo,350,,,,,
18268,2 sfoglie di pasta fillo,2 sfoglie di pasta fillo,sfoglie di pasta fillo,2,sfoglie di pasta fillo,sfoglie,pasta fillo,44,,,,,
18269,50-60 g di feta,50-60 g di feta,feta,50 - 60 g,feta,feta,feta,64,,,,,
18270,2 cucchiai di olive verdi denocciolate,2 cucchiai di olive verdi denocciolate,olive verdi,2 cucchiai,olive verdi,olive verdi,olive verdi,119,,,,,
18271,1 kg di amarene mature,1 kg di amarene mature,amarene,1 kg,amarene,amarene,amarene,47,,,,,
18272,1 pezzetto di cannella,1 pezzetto di cannella,cannella,1 pezzetto,cannella,cannella,cannella,499,,,,,
18273,alcol per liquori,alcol,alcol,,alcol,alcol puro,alcol puro,23,,,,,
18274,45 g di fecola,45 g di fecola,fecola,45 g,fecola,fecola,fecola di patate,233,,,,,
18275,400 g di pesce spada a fettine,400 g di pesce spada,pesce spada,400 g,pesce spada,pesce spada,pesce spada,66,,,,,
18276,250 g di salmone a fettine,250 g di salmone,salmone,250 g,salmone,salmone,salmone,173,,,,,
18277,riso rosso,riso rosso,riso rosso,,riso rosso,riso,riso,289,,,,,
18278,1 bottiglia di Champagne demi sec,1 bottiglia di champagne demi sec,champagne demi sec,1 bottiglia,champagne demi sec,champagne,champagne,16,,,,,
18279,20 g di frullato di fragola,20 g di frullato di fragola,frullato di fragola,20 g,fragola,fragole,fragole,249,,,,,
18280,20 g di granatina,20 g di granatina,granatina,20 g,granatina,granatina,granatina,3,,,,,
18281,2 kg di carne mista (girello o spuntatura di costa di manzo),2 kg di carne mista,carne mista,2 kg,carne,carne,carne,44,,,,,
18282,600 gr di polpa di manzo tritata,600 gr di polpa di manzo tritata,polpa di manzo,600 gr,manzo,manzo,carne di bovino,492,,,,,
18283,1 gallina Padovana,1 gallina padovana,gallina padovana,1,gallina padovana,gallina,carne di gallina,16,,,,,
18284,2/3 zampe di pollo,2/3 zampe di pollo,zampe di pollo,2/3,zampe di pollo,zampe di pollo,carne di pollo,350,,,,,
18285,1 osso con midollo,1 osso con midollo,osso con midollo,1,osso con midollo,osso con midollo,ossibuchi,16,,,,,
18286,4 cipolle di cui 2 steccate con 2 chiodi di garofano,4 cipolle di cui 2 steccate con 2 chiodi di garofano,cipolle di steccate garofano,4 cui 2,cipolle di steccate garofano,cipolle,cipolla,1415,,,,,
18287,4 costole di sedano,4 costole di sedano,costole di sedano,4,costole di sedano,costolette d'agnello,sedano,796,,,,,
18288,6 champignon,6 champignon,champignon,6,champignon,champignon,champignon,22,,,,,
18289,2 bouquet garni (prezzemolo-timo-1 foglia di lauro-2 foglie di basilico),2 bouquet garni,bouquet garni,2,bouquet garni,bouquet garni,bouquet garni,1,,,,,
18290,pepe in grani qb,pepe,pepe,,pepe,pepe,pepe,5844,,,,,
18291,5 lt d’acqua,5 lt d'acqua,d' acqua,5 lt,acqua,acqua,acqua,1976,,,,,
18292,4/6 albumi,4/6 albumi,albumi,4/6,albumi,albumi,albumi,436,,,,,
18293,1 bicchierino di Sherry,1 bicchierino di sherry,sherry,1 bicchierino,sherry,sherry,sherry,13,,,,,
18294,fegato e cuore della gallina Padovana,fegato e cuore della gallina padovana,fegato gallina padovana,della,fegato gallina padovana,fegato,fegato,4,,,,,
18295,200 gr di cipolla ramata,200 gr di cipolla ramata,cipolla ramata,200 gr,cipolla,cipolla,cipolla,1415,,,,,
18296,30 gr di acciughe sott'olio,30 gr di acciughe sott'olio,acciughe sott' olio,30 gr,acciughe sott'olio,acciughe sott'olio,acciughe,403,,,,,
18297,15 gr di capperi sotto sale,15 gr di capperi sotto sale,capperi sotto sale,15 gr,capperi sotto sale,capperi sotto sale,capperi,366,,,,,
18298,salvia e rosmarino,salvia e rosmarino,salvia,,salvia,salvia,salvia,484,,,,,
18299,olio Extravergine di oliva Toscano,olio extravergine di oliva toscano,olio extravergine di oliva toscano,,olio extravergine di oliva,olio extravergine di oliva,olio extravergine d'oliva,4337,,,,,
18300,2 petti della gallina Padovana,2 petti della gallina padovana,petti della gallina padovana,2,petti della gallina padovana,petti d'anatra,carne,44,,,,,
18301,200 gr di pancetta arrotolata,200 gr di pancetta arrotolata,pancetta,200 gr,pancetta,pancetta,pancetta,245,,,,,
18302,rametti di rosmarino per affumicare,rametti di rosmarino,rosmarino,,rosmarino,rosmarino,rosmarino,850,,,,,
18303,le ali della Gallina Padovana,le ali della gallina padovana,ali della gallina padovana,le,ali di gallina padovana,alici,carne di gallina,16,,,,,
18304,400 gr di champignon de Paris,400 gr di champignon de paris,champignon de paris,400 gr,champignon de paris,champignon,champignon,22,,,,,
18305,200 gr di scalogni,200 gr di scalogni,scalogni,200 gr,scalogni,scalogni,scalogno,620,,,,,
18306,le 2 cosce della gallina Padovana,le 2 cosce della gallina padovana,cosce della gallina padovana,le 2,cosce della gallina padovana,cosce di coniglio,carne di gallina,16,,,,,
18307,grasso sottocutaneo della gallina stessa,grasso sottocutaneo della gallina stessa,grasso sottocutaneo della gallina stessa,,grasso di gallina,grasso di prosciutto,grasso di prosciutto,8,,,,,
18308,50 gr di burro chiarificato,50 gr di burro chiarificato,burro chiarificato,50 gr,burro chiarificato,burro chiarificato,burro chiarificato,31,,,,,
18309,8 ovoline di bufala,8 ovoline di bufala,di bufala,8 ovoline,bufala,bufala,mozzarella di bufala,43,,,,,
18310,1 pizzico di vanillina,1 pizzico di vanillina,vanillina,1 pizzico,vanillina,vanillina,vanillina,53,,,,,
18311,800 g manzo di taglio anteriore (girello o sottospalla),800 g manzo di taglio anteriore,manzo taglio anteriore,800 g,manzo,manzo,carne di bovino,492,,,,,
18312,400 g di cipolle gialle,400 g di cipolle gialle,cipolle gialle,400 g,cipolle gialle,cipolle,cipolla dorata,142,,,,,
18313,80 ml di olio extravergine d'oliva,80 ml di olio extravergine d'oliva,olio extravergine d' oliva,80 ml,olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,4337,,,,,
18314,1 cucchiaio di paprica dolce,1 cucchiaio di paprica dolce,paprica dolce,1 cucchiaio,paprica dolce,paprica dolce,paprika,272,,,,,
18315,1 cucchiaio di paprica forte,1 cucchiaio di paprica forte,paprica forte,1 cucchiaio,paprica forte,paprica,paprika,272,,,,,
18316,1 cucchiaino di cumino,1 cucchiaino di cumino,cumino,1 cucchiaino,cumino,cumino,cumino,79,,,,,
18317,1/2 cucchiaino di maggiorana,1/2 cucchiaino di maggiorana,maggiorana,1/2 cucchiaino,maggiorana,maggiorana,maggiorana,288,,,,,
18318,3 pesche gialle mature,3 pesche gialle mature,pesche gialle,3,pesche gialle,pesche gialle,pesche,106,,,,,
18319,150 g di frutta candita a piacere,150 g di frutta candita,frutta candita,150 g,frutta candita,frutta candita,frutta candita,33,,,,,
18320,1 bicchierino di liquore a piacere,1 bicchierino di liquore,liquore,1 bicchierino,liquore,liquore,liquore,38,,,,,
18321,50 gr burro,50 gr burro,burro,50 gr,burro,burro,burro,4606,,,,,
18322,1 bicchiere scarso d’aceto bianco,1 bicchiere scarso d'aceto bianco,d' aceto bianco,1 bicchiere,aceto bianco,aceto bianco,aceto,528,,,,,
18323,3 cucchiai di cipolla bianca tritata,3 cucchiai di cipolla bianca tritata,cipolla bianca,3 cucchiai,cipolla bianca,cipolla bianca,cipolla bianca,310,,,,,
18324,500 gr di asparagi,500 gr di asparagi,asparagi,500 gr,asparagi,asparagi,asparagi,192,,,,,
18325,400 gr di gnocchi di patate,400 gr di gnocchi di patate,gnocchi di patate,400 gr,gnocchi di patate,gnocchi di patate,gnocchi di patate,22,,,,,
18326,qualche pistillo di zafferano,qualche pistillo di zafferano,zafferano,qualche pistillo,zafferano,zafferano,zafferano,177,,,,,
18327,12 punte di asparagi lessate,12 punte di asparagi lessate,asparagi,12 punte,asparagi,asparagi,asparagi,192,,,,,
18328,2 cucchiai di basilico tritato,2 cucchiai di basilico tritato,basilico,2 cucchiai,basilico,basilico,basilico,944,,,,,
18329,220 ml succo di limone,220 ml succo di limone,succo di limone,220 ml,succo di limone,succo di limone,succo di limone,599,,,,,
18330,3 zeste di limone,3 zeste di limone,zeste limone,3,zeste limone,zeste limone,limone,1394,,,,,
18331,600 ml di crema,600 ml di crema,crema,600 ml,crema,crema pasticciera,crema pasticcera,65,,,,,
18332,330 gr albume d'uovo,330 gr albume d'uovo,albume d' uovo,330 gr,albume d'uovo,albume,albumi,436,,,,,
18333,240 gr di burro,240 gr di burro,burro,240 gr,burro,burro,burro,4606,,,,,
18334,100 gr olio neutro,100 gr olio neutro,olio neutro,100 gr,olio neutro,olio,olio,2191,,,,,
18335,30 gr melissa,30 gr melissa,melissa,30 gr,melissa,melissa,melissa,10,,,,,
18336,5 gr polvere di liquirizia pura,5 gr polvere di liquirizia pura,liquirizia pura,5 gr,liquirizia,liquirizia,liquirizia,21,,,,,
18337,2 gr carbone vegetale,2 gr carbone vegetale,carbone vegetale,2 gr,carbone vegetale,carbone vegetale,carbone vegetale,2,,,,,
18338,300 g di ricotta acida (quark),300 g di ricotta acida,ricotta acida,300 g,ricotta acida,ricotta,ricotta,324,,,,,
18339,1 ciuffo di menta fresca,1 ciuffo di menta fresca,menta fresca,1 ciuffo,menta fresca,menta fresca,menta,533,,,,,
18340,12 pomodori ciliegini,12 pomodori ciliegini,pomodori ciliegini,12,pomodori ciliegini,pomodori ciliegini,pomodorini ciliegino,288,,,,,
18341,40 g di sesamo bianco,40 g di sesamo bianco,sesamo bianco,40 g,sesamo bianco,sesamo,sesamo,15,,,,,
18342,40 g di sesamo nero,40 g di sesamo nero,sesamo nero,40 g,sesamo nero,sesamo nero,sesamo,15,,,,,
18343,5 cl di acqua,5 cl di acqua,acqua,5 cl,acqua,acqua,acqua,1976,,,,,
18344,12 fette di prosciutto crudo,12 fette di prosciutto crudo,prosciutto crudo,12 fette,prosciutto crudo,prosciutto crudo,prosciutto crudo,182,,,,,
18345,50 g di zucchero di vaniglia,50 g di zucchero di vaniglia,zucchero di vaniglia,50 g,zucchero di vaniglia,zucchero,zucchero,4949,,,,,
18346,130 g di riso piccolo,130 g di riso piccolo,riso,130 g,riso,riso,riso,289,,,,,
18347,ostriche,ostriche,ostriche,,ostriche,ostriche,ostriche,13,,,,,
18348,pane bianco,pane bianco,pane bianco,,pane bianco,pane bianco,pane,363,,,,,
18349,6 fettine di pancetta tesa,6 fettine di pancetta tesa,pancetta,6 fettine,pancetta,pancetta,pancetta,245,,,,,
18350,12 grani di pepe verde,12 grani di pepe verde,di pepe verde,12 grani,pepe verde,pepe verde,pepe,5844,,,,,
18351,350 g farina con cruschello,350 g farina con cruschello,farina,350 g,farina,farina,farina,2121,,,,,
18352,semolino grezzo,semolino grezzo,semolino grezzo,,semolino grezzo,semolino,semolino,56,,,,,
18353,lievito per dolci,lievito,lievito,,lievito,lievito,lievito,994,,,,,
18354,gallinella di mare,gallinella di mare,gallinella di mare,,gallinella di mare,gallinella,gallinella,13,,,,,
18355,1 bottiglietta di Crodino,1 bottiglietta di crodino,crodino,1,crodino,crodino,crodino,1,,,,,
18356,320 g di pasta all’uovo,320 g di pasta all'uovo,pasta all' uovo,320 g,pasta all'uovo,pasta all'uovo,pasta all'uovo,32,,,,,
18357,3 cucchiai di brodo,3 cucchiai di brodo,brodo,3 cucchiai,brodo,brodo,brodo,215,,,,,
18358,300 g di mousse di foie gras,300 g di mousse di foie gras,mousse di foie gras,300 g,mousse di foie gras,mousse di foie gras,foie gras,13,,,,,
18359,200 g di lingua salmistrata,200 g di lingua salmistrata,lingua salmistrata,200 g,lingua salmistrata,lingua salmistrata,lingua salmistrata,10,,,,,
18360,1 50 g di prosciutto cotto,1 50 g di prosciutto cotto,prosciutto cotto,1 50 g,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
18361,1/2 gambodi cren,1/2 gambodi cren,cren,1/2,cren,cren,cren,5,,,,,
18362,80 g di farina gialla,80 g di farina gialla,farina gialla,80 g,farina gialla,farina gialla,farina gialla,68,,,,,
18363,300 g di carne di manzo tritata,300 g di carne di manzo tritata,carne di manzo,300 g,carne di manzo,carne di manzo,carne di bovino,492,,,,,
18364,2 litri e 1/2 di brodo di carne,2 litri e 1/2 di brodo di carne,brodo di carne,2 litri e 1/2,brodo di carne,brodo di carne,brodo di carne,219,,,,,
